,Media Giornaliera %,Volatilità %,Skewness,Kurtosis,Min,Max,Sharpe Annuale
SAIPEM,-0.04597158988949984,4.093671856395307,-3.265041320886159,84.20174441385964,-66.478571151104,52.85164215809911,-0.1782693852686604
BCA_MPS,-0.0306489372783533,3.633464783610965,1.2681817938436746,108.52614310321839,-54.66603232673124,69.11262974201729,-0.13390436536393616
STMICROELECTRONICS,0.05063749612394797,2.585094316127732,-0.6832588502017027,5.808583854331607,-18.18767169289679,13.485285886680852,0.310953966181736
TELECOM IT,0.008929750242596844,2.5557841906629584,-0.5829904913270919,18.391923102764405,-27.161890358115198,26.424948820299765,0.055464538433586986
BPER_BANCA,0.08514327904650346,2.5330061873407836,-0.20447542610329686,7.507009584986509,-19.54330296769208,20.216173017212057,0.5335982437582207
FINCANTIERI,0.028987121822811518,2.5215825304435775,0.7498210525004693,9.739267834924304,-14.722184684931639,21.449630049365766,0.18248710396927134
STELLANTIS,-0.025343207101009423,2.497614081712076,-1.5514436164944092,15.454689845585829,-29.00112184633602,12.104526181258969,-0.16107810387130936
AVIO,0.06973629526547066,2.449142096436543,-0.16314024156769238,9.938400050864741,-18.20189828297862,16.818051886840326,0.4520069984404523
LEONARDO,0.10686384547399365,2.4399480220209795,-0.4294226437270295,10.900286835899745,-25.038646162111235,15.07215021065525,0.6952652024956738
UNICREDIT,0.09627123609492587,2.4274845889964527,-0.5736378747866422,6.726380287862627,-18.946645886352496,12.859711152292183,0.6295646537255881
BCO_BPM,0.09479144184020925,2.384804285978336,-0.47166600242144036,5.180826301379531,-18.269941434615475,14.02547717183355,0.6309815434356733
AMPLIFON,-0.024306158958531755,2.3515191013534706,-1.9869067310283108,20.753896149148655,-29.385853812662795,10.572809515102964,-0.1640847022534474
TENARIS,0.051425528631164,2.3333019119741105,-0.6389698651768525,9.931240706520839,-24.066676210641603,12.87070792062461,0.349871122377758
BRUNELLO CUC,0.047910200539617906,2.191594053903324,-0.3354496984326642,5.3755129975949245,-18.96796257669297,9.670245291471169,0.3470308992633902
DIASORIN,-0.012880335784707441,2.11974875485052,-1.0919339213259351,10.914208632072961,-20.790872504923353,9.526906222861143,-0.09645906915533015
PRYSMIAN,0.09224280625900655,2.114724313630057,-0.698138853149854,4.145632242723815,-15.747217806474806,8.249264352148098,0.6924350110973487
MONCLER,0.030543903785407073,2.1058839491103374,0.437382782766843,5.133703981925779,-12.153666572483282,13.305050778717185,0.23024509072139013
FINECOBANK,0.04034507030448305,2.037630242264747,-0.38790638931356913,4.397230765202952,-12.96934502619021,11.212345475155153,0.3143151895932946
BUZZI,0.05906276321568394,2.021020942205543,0.012886267785114768,6.797341978099965,-14.286596862397607,15.097403560953362,0.46392013051322656
AZIMUT,0.06322525856060598,1.9730495487475912,-0.8826487360686819,10.188137344369272,-17.307868971277713,14.298760297582957,0.5086896398581646
UNIPOL,0.09117169878931232,1.9391738056848802,-0.12733870317637852,15.645758657154623,-19.231806988579724,19.08735562171678,0.7463517944497464
MEDIOBANCA,0.041163472119948925,1.9373423832708059,-1.1517868541834773,13.681433993757103,-20.686266571007238,13.025468019889525,0.33729188377778496
INTESA SP,0.051022179940331126,1.8749375017784657,-1.2260557207575131,11.265481752821861,-19.581141778103692,10.517289085327667,0.43198879752245073
CAMPARI,-0.012971320325680024,1.8723192289301094,-0.8368095628836076,15.20938433129476,-20.457190806325745,10.462495107887216,-0.10997768081733814
BCA_MEDIOLANUM,0.06605866148548833,1.8308655956836561,-0.7588826579185561,7.277139040119739,-12.710050229423222,11.409007445592124,0.5727611813049799
ENI,0.029279404698951093,1.7978448614423035,-1.9357829400469695,27.9734348188357,-23.385144870450706,13.915913902298499,0.2585296151992589
FERRARI,0.06404003014415574,1.760975773713945,-0.6040614525408575,9.966426034309338,-16.73799767957556,10.454235238862402,0.5772958251112399
POSTE IT,0.05628119391594258,1.6886061045961358,-2.2743082777456176,31.05760927347957,-24.885190802441674,9.31772248541833,0.5290969001690282
RECORDATI,0.026379313747911522,1.6771917848145732,-0.20767044520837413,15.029195268455329,-17.990060553623564,17.158948616130925,0.24967843713080415
A2A,0.021832337522445077,1.658070428514475,-1.5961926826287056,17.66421440673318,-21.12380532807173,7.557118684707404,0.20902466371841255
INWIT,0.00880057743089123,1.646960915430261,-0.8969697069427671,17.869826816458904,-16.955930518010344,13.029197891419361,0.08482583548070312
HERA,0.018672462735135776,1.6266518830955812,-1.0418440255370773,15.574563323751285,-19.208470137609673,14.16640617843106,0.18222470317966855
ENEL,0.032714972542236355,1.5295428309048729,-2.0647660373522116,26.829258841847025,-22.12282088401408,7.250754503164044,0.3395354994166113
ITALGAS,0.039175644840851946,1.4311632604641522,-0.8441874267339521,9.0290282052426,-14.738779394269724,7.200393292494424,0.43453748386135715
SNAM,0.02615896002611682,1.4176322481824353,-2.2327970502087657,31.963045249791726,-21.296936642299986,9.528160061854397,0.29292548701789184
TERNA,0.034911716969425834,1.3797796750104574,-1.1277592146180464,12.798355466967864,-16.18820544099069,7.51723996809689,0.40166291452006314
GENERALI,0.04583815858337892,1.3547232106810574,-1.0016395234645026,11.681714867914371,-13.871083446607157,10.490148420611229,0.5371268486990448
